Company,Product,Price,Weight,Complex.,Memory,Battery,Style
red,Scarlet,-7.6,-9.5,-12.3,-6.6,-6.1,-5.8
red,Clay,-2.4,-15,4.4,-8.1,-1.7,19.3
red,Crimson,14.4,8.8,-6.9,-8.3,-2.8,-0.5
red,Burgundy,-11.2,1.9,-16.3,-16.8,-10,-16.9
orange,Navel,16.7,2.7,-3.5,-3.3,1.2,5.9
orange,Mandarin,-12.3,-14.2,-11.1,-11.5,-17.8,-5.6
orange,Valencia,-0.6,-13.8,14.8,-1.9,-8.7,12.1
yellow,StickIt,-12.5,4.4,-14.8,-20.7,-15.6,-10.2
yellow,Storm,-1.2,-4.4,2.5,2.8,-15,17.6
yellow,Sunshine,-1.2,-7.2,10.6,4.3,2.8,1.6
yellow,PostIt,13,8.6,-11.2,-13.7,-6,-1.9
green,Kermit,-1.7,3.4,5.4,12.1,-18.3,1.6
green,Leaf,0.6,-18.1,-1.4,-6.1,-15,15.8
green,Duke,14.7,-4.5,-8.1,-8.1,-6.5,-8.1
green,Turqoise,-10,3.1,-20,-17.6,-10,-20
blue,Denim,0.7,-10,2,-3.4,-19.4,10.8
blue,Azul,14.9,10.3,-8.1,-3,-6.6,0.7
purple,Grape,-10.7,-10,-10.7,-8.8,-8.9,-8.8
purple,Rain,-0.1,-15,7.8,12.1,-18.3,7.4
