Company,Product,Price,Weight,Complex.,Memory,Battery,Style
red,Scarlet,-7.5,-9.5,-11.6,-6.6,-6.1,-5.8
red,Crimson,11.3,9.3,-6.9,-8.3,-0.4,-0.5
red,Burgundy,-13.7,1.9,-16.3,-16.8,-7.2,-16.9
red,Ruby,-5.9,-6.2,15,7.4,8.3,1.2
orange,Valencia,-0.6,-11.3,14.7,-0.4,-8.7,12.1
orange,Navel,12.8,12.3,-12.5,-11.1,-1,0
orange,Mandarin,-12.5,1.9,-14,-15.7,-6,-17.5
orange,>Scarlet_(2) ,-7.5,-14.5,-9.4,-11.5,-17.8,-8.1
yellow,Storm,4.3,-4.4,2.5,2.8,-15,13.5
yellow,Sunshine,-2.5,-8.1,13.3,4.5,4.4,1.7
yellow,PostIt,11.5,10,-10,-11.4,-0.9,0.8
green,Kermit,-1.9,3.4,5.4,11.1,-18.3,1.6
green,Turqoise,-12.5,3.1,-20,-17.6,-7.4,-20
green,Duke,13.8,12.9,-16.5,-15.7,0,-1.1
green,Leaf,1.7,-3.2,3,0.6,-12.5,11.8
blue,Denim,3.5,-10,2,-2.6,-19.4,10.6
blue,Azul,11.8,10.3,-8.1,-3,-6,0.7
blue,Egret,-12.2,2.5,-15,-18.1,-5.6,-17.7
blue,Gable,-5.3,-6.2,15.2,6.5,7.2,3
purple,Grape,-10.3,-10,-10.3,-8.8,-7.3,-7.2
purple,Rain,-0.8,-15,7.8,12.1,-18.3,7.4
