Company,Product,Price,Weight,Complex.,Memory,Battery,Style
red,Scarlet,-8.2,-11.2,-12.3,-6.6,-6.1,-5.8
red,Clay,-1.2,-15,4.4,-8.1,-1.7,19.3
red,Crimson,11.7,6.7,-10.8,-4.9,-1.3,1.4
orange,Navel,14.9,2.7,-3.5,-1.4,2.1,5.9
orange,Mandarin,-12.2,-14.2,-11.1,-11.5,-17.8,-5.6
yellow,Sunshine,-1.2,-4.4,4.5,3.5,-2.2,3.4
yellow,PostIt,12.7,4.4,-14.8,-20.7,-15.7,-10.2
yellow,StickIt,-12.5,4.4,-14.8,-20.7,-15.6,-10.2
yellow,Storm,-1.2,-4.4,2.5,2.8,-15,17.6
green,Kermit,-0.5,3.4,5.4,12.1,-18.3,1.6
green,Leaf,0.5,-18.1,-1.4,-6.1,-15,16.3
green,Duke,14.3,-5,-8.1,-8.1,-6.5,-8.1
blue,Ocean,-11.4,-20,-20.1,7.6,-7.5,-11.5
blue,Denim,0,-10,-0.5,-3.4,-19.4,10.8
blue,Azul,14.6,8.5,-6.4,-3.2,-3.3,-1.7
purple,Grape,-9.8,-11.2,-10.3,-8.8,-8.9,-8.8
purple,Rain,-0.1,-15,7.4,12.1,-18.3,7.4
